gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,total_score,score_difference,pass
female,group E,associate's degree,free/reduced,completed,57,68,73,66.0,198,11,1
male,group D,high school,standard,none,70,70,70,70.0,210,0,1
female,group E,associate's degree,free/reduced,none,70,84,81,78.33333333333333,235,14,1
male,group E,some college,standard,none,69,60,54,61.0,183,-9,1
female,group C,associate's degree,standard,none,52,55,57,54.666666666666664,164,3,1
male,group C,some high school,standard,completed,67,73,68,69.33333333333333,208,6,1
male,group C,some high school,standard,completed,76,80,73,76.33333333333333,229,4,1
female,group E,associate's degree,standard,none,87,94,95,92.0,276,7,1
female,group B,some college,standard,none,82,85,87,84.66666666666667,254,3,1
female,group C,some college,standard,none,73,76,78,75.66666666666667,227,3,1
male,group A,some college,free/reduced,none,75,81,74,76.66666666666667,230,6,1
female,group D,some college,free/reduced,none,64,74,75,71.0,213,10,1
female,group E,high school,free/reduced,none,41,45,40,42.0,126,4,1
male,group C,high school,standard,none,90,75,69,78.0,234,-15,1
male,group B,bachelor's degree,standard,none,59,54,51,54.666666666666664,164,-5,1
male,group A,some high school,standard,none,51,31,36,39.333333333333336,118,-20,0
male,group A,high school,free/reduced,none,45,47,49,47.0,141,2,1
female,group C,master's degree,standard,completed,54,64,67,61.666666666666664,185,10,1
male,group E,some high school,standard,completed,87,84,76,82.33333333333333,247,-3,1
female,group C,high school,standard,none,72,80,83,78.33333333333333,235,8,1
male,group B,some high school,standard,completed,94,86,87,89.0,267,-8,1
female,group A,bachelor's degree,standard,none,45,59,64,56.0,168,14,1
male,group D,bachelor's degree,free/reduced,completed,61,70,76,69.0,207,9,1
female,group B,high school,free/reduced,none,60,72,68,66.66666666666667,200,12,1
female,group C,some high school,standard,none,77,91,88,85.33333333333333,256,14,1
female,group A,some high school,standard,completed,85,90,92,89.0,267,5,1
female,group D,bachelor's degree,free/reduced,none,78,90,93,87.0,261,12,1
male,group E,some college,free/reduced,completed,49,52,51,50.666666666666664,152,3,1
female,group B,high school,free/reduced,none,71,87,82,80.0,240,16,1
female,group C,some high school,free/reduced,none,48,58,52,52.666666666666664,158,10,1
male,group C,high school,standard,none,62,67,58,62.333333333333336,187,5,1
female,group C,associate's degree,free/reduced,completed,56,68,70,64.66666666666667,194,12,1
female,group C,some high school,standard,none,65,69,76,70.0,210,4,1
female,group D,some high school,free/reduced,completed,69,86,81,78.66666666666667,236,17,1
male,group B,some high school,standard,none,68,54,53,58.333333333333336,175,-14,1
female,group A,some college,free/reduced,none,61,60,57,59.333333333333336,178,-1,1
female,group C,bachelor's degree,free/reduced,completed,74,86,89,83.0,249,12,1
male,group A,bachelor's degree,standard,none,64,60,58,60.666666666666664,182,-4,1
female,group B,high school,standard,completed,77,82,89,82.66666666666667,248,5,1
male,group B,some college,standard,none,58,50,45,51.0,153,-8,1
female,group C,high school,standard,completed,60,64,74,66.0,198,4,1
male,group E,high school,standard,none,73,64,57,64.66666666666667,194,-9,1
female,group A,high school,standard,completed,75,82,79,78.66666666666667,236,7,1
male,group B,associate's degree,free/reduced,completed,58,57,53,56.0,168,-1,1
female,group C,associate's degree,standard,none,66,77,73,72.0,216,11,1
female,group D,high school,free/reduced,none,39,52,46,45.666666666666664,137,13,0
male,group C,some high school,standard,none,64,58,51,57.666666666666664,173,-6,1
female,group B,high school,free/reduced,completed,23,44,36,34.333333333333336,103,21,0
male,group B,some college,free/reduced,completed,74,77,76,75.66666666666667,227,3,1
female,group D,some high school,free/reduced,completed,40,65,64,56.333333333333336,169,25,1
male,group E,master's degree,standard,none,90,85,84,86.33333333333333,259,-5,1
male,group C,master's degree,standard,completed,91,85,85,87.0,261,-6,1
male,group D,high school,standard,none,64,54,50,56.0,168,-10,1
female,group C,high school,standard,none,59,72,68,66.33333333333333,199,13,1
male,group D,associate's degree,standard,none,80,75,69,74.66666666666667,224,-5,1
male,group C,master's degree,standard,none,71,67,67,68.33333333333333,205,-4,1
female,group A,high school,standard,none,61,68,63,64.0,192,7,1
female,group E,some college,standard,none,87,85,93,88.33333333333333,265,-2,1
male,group E,some high school,standard,none,82,67,61,70.0,210,-15,1
male,group C,some high school,standard,none,62,64,55,60.333333333333336,181,2,1
female,group B,bachelor's degree,standard,none,97,97,96,96.66666666666667,290,0,1
male,group B,some college,free/reduced,none,75,68,65,69.33333333333333,208,-7,1
female,group C,bachelor's degree,standard,none,65,79,81,75.0,225,14,1
male,group B,high school,standard,completed,52,49,46,49.0,147,-3,1
male,group C,associate's degree,free/reduced,none,87,73,72,77.33333333333333,232,-14,1
female,group C,associate's degree,standard,none,53,62,53,56.0,168,9,1
female,group E,master's degree,free/reduced,none,81,86,87,84.66666666666667,254,5,1
male,group D,bachelor's degree,free/reduced,completed,39,42,38,39.666666666666664,119,3,0
female,group C,some college,standard,completed,71,71,80,74.0,222,0,1
male,group C,associate's degree,standard,none,97,93,91,93.66666666666667,281,-4,1
male,group D,some college,standard,completed,82,82,88,84.0,252,0,1
male,group C,high school,free/reduced,none,59,53,52,54.666666666666664,164,-6,1
male,group B,associate's degree,standard,none,61,42,41,48.0,144,-19,1
male,group E,associate's degree,free/reduced,completed,78,74,72,74.66666666666667,224,-4,1
male,group C,associate's degree,free/reduced,none,49,51,51,50.333333333333336,151,2,1
male,group B,high school,standard,none,59,58,47,54.666666666666664,164,-1,1
female,group C,some college,standard,completed,70,72,76,72.66666666666667,218,2,1
male,group B,associate's degree,standard,completed,82,84,78,81.33333333333333,244,2,1
male,group E,associate's degree,free/reduced,none,90,90,82,87.33333333333333,262,0,1
female,group C,bachelor's degree,free/reduced,none,43,62,61,55.333333333333336,166,19,1
male,group C,some college,free/reduced,none,80,64,66,70.0,210,-16,1
male,group D,some college,standard,none,81,82,84,82.33333333333333,247,1,1
male,group C,some high school,standard,none,57,61,54,57.333333333333336,172,4,1
female,group D,some high school,standard,none,59,72,80,70.33333333333333,211,13,1
female,group D,associate's degree,standard,none,64,76,74,71.33333333333333,214,12,1
male,group C,bachelor's degree,standard,completed,63,64,66,64.33333333333333,193,1,1
female,group E,bachelor's degree,standard,completed,71,70,70,70.33333333333333,211,-1,1
female,group B,high school,free/reduced,none,64,73,71,69.33333333333333,208,9,1
male,group D,bachelor's degree,free/reduced,none,55,46,44,48.333333333333336,145,-9,1
female,group E,associate's degree,standard,none,51,51,54,52.0,156,0,1
female,group C,associate's degree,standard,completed,62,76,80,72.66666666666667,218,14,1
female,group E,associate's degree,standard,completed,93,100,95,96.0,288,7,1
male,group C,high school,free/reduced,none,54,72,59,61.666666666666664,185,18,1
female,group D,some college,free/reduced,none,69,65,74,69.33333333333333,208,-4,1
male,group D,high school,free/reduced,none,44,51,48,47.666666666666664,143,7,1
female,group E,some college,standard,completed,86,85,91,87.33333333333333,262,-1,1
female,group E,associate's degree,standard,none,85,92,85,87.33333333333333,262,7,1
female,group A,master's degree,free/reduced,none,50,67,73,63.333333333333336,190,17,1
male,group D,some high school,standard,completed,88,74,75,79.0,237,-14,1
female,group E,associate's degree,standard,none,59,62,69,63.333333333333336,190,3,1
female,group E,some high school,free/reduced,none,32,34,38,34.666666666666664,104,2,0
male,group B,high school,free/reduced,none,36,29,27,30.666666666666668,92,-7,0
female,group B,some high school,free/reduced,completed,63,78,79,73.33333333333333,220,15,1
male,group D,associate's degree,standard,completed,67,54,63,61.333333333333336,184,-13,1
female,group D,some high school,standard,completed,65,78,82,75.0,225,13,1
male,group D,master's degree,standard,none,85,84,89,86.0,258,-1,1
female,group C,master's degree,standard,none,73,78,74,75.0,225,5,1
female,group A,high school,free/reduced,completed,34,48,41,41.0,123,14,0
female,group D,bachelor's degree,free/reduced,completed,93,100,100,97.66666666666667,293,7,1
female,group D,some high school,free/reduced,none,67,84,84,78.33333333333333,235,17,1
male,group D,some college,standard,none,88,77,77,80.66666666666667,242,-11,1
male,group B,high school,standard,none,57,48,51,52.0,156,-9,1
female,group D,some college,standard,completed,79,84,91,84.66666666666667,254,5,1
female,group C,bachelor's degree,free/reduced,none,67,75,72,71.33333333333333,214,8,1
male,group E,bachelor's degree,standard,completed,70,64,70,68.0,204,-6,1
male,group D,bachelor's degree,free/reduced,none,50,42,48,46.666666666666664,140,-8,1
female,group A,some college,standard,none,69,84,82,78.33333333333333,235,15,1
female,group C,bachelor's degree,standard,completed,52,61,66,59.666666666666664,179,9,1
female,group C,bachelor's degree,free/reduced,completed,47,62,66,58.333333333333336,175,15,1
female,group B,associate's degree,free/reduced,none,46,61,55,54.0,162,15,1
female,group E,some college,standard,none,68,70,66,68.0,204,2,1
male,group E,bachelor's degree,standard,completed,100,100,100,100.0,300,0,1
female,group C,high school,standard,none,44,61,52,52.333333333333336,157,17,1
female,group C,associate's degree,standard,completed,57,77,80,71.33333333333333,214,20,1
male,group B,some college,standard,completed,91,96,91,92.66666666666667,278,5,1
male,group D,high school,free/reduced,none,69,70,67,68.66666666666667,206,1,1
female,group C,high school,free/reduced,none,35,53,46,44.666666666666664,134,18,0
male,group D,high school,standard,none,72,66,66,68.0,204,-6,1
female,group B,associate's degree,free/reduced,none,54,65,65,61.333333333333336,184,11,1
male,group D,high school,free/reduced,none,74,70,69,71.0,213,-4,1
male,group E,some high school,standard,completed,74,64,60,66.0,198,-10,1
male,group E,associate's degree,free/reduced,none,64,56,52,57.333333333333336,172,-8,1
female,group D,high school,free/reduced,completed,65,61,71,65.66666666666667,197,-4,1
male,group E,associate's degree,free/reduced,completed,46,43,44,44.333333333333336,133,-3,1
female,group C,some high school,free/reduced,none,48,56,51,51.666666666666664,155,8,1
male,group C,some college,free/reduced,completed,67,74,70,70.33333333333333,211,7,1
male,group D,some college,free/reduced,none,62,57,62,60.333333333333336,181,-5,1
male,group D,associate's degree,free/reduced,completed,61,71,73,68.33333333333333,205,10,1
male,group C,bachelor's degree,free/reduced,completed,70,75,74,73.0,219,5,1
male,group C,associate's degree,standard,completed,98,87,90,91.66666666666667,275,-11,1
male,group D,some college,free/reduced,none,70,63,58,63.666666666666664,191,-7,1
male,group A,associate's degree,standard,none,67,57,53,59.0,177,-10,1
female,group E,high school,free/reduced,none,57,58,57,57.333333333333336,172,1,1
male,group D,some college,standard,completed,85,81,85,83.66666666666667,251,-4,1
male,group D,some high school,standard,completed,77,68,69,71.33333333333333,214,-9,1
male,group C,master's degree,free/reduced,completed,72,66,72,70.0,210,-6,1
female,group D,master's degree,standard,none,78,91,96,88.33333333333333,265,13,1
male,group C,high school,standard,none,81,66,64,70.33333333333333,211,-15,1
male,group A,some high school,free/reduced,completed,61,62,61,61.333333333333336,184,1,1
female,group B,high school,standard,none,58,68,61,62.333333333333336,187,10,1
female,group C,associate's degree,standard,none,54,61,58,57.666666666666664,173,7,1
male,group B,high school,standard,none,82,82,80,81.33333333333333,244,0,1
female,group D,some college,free/reduced,none,49,58,60,55.666666666666664,167,9,1
male,group B,some high school,free/reduced,completed,49,50,52,50.333333333333336,151,1,1
female,group E,high school,free/reduced,completed,57,75,73,68.33333333333333,205,18,1
male,group E,high school,standard,none,94,73,71,79.33333333333333,238,-21,1
female,group D,some college,standard,completed,75,77,83,78.33333333333333,235,2,1
female,group E,some high school,free/reduced,none,74,74,72,73.33333333333333,220,0,1
male,group C,high school,standard,completed,58,52,54,54.666666666666664,164,-6,1
female,group C,some college,standard,none,62,69,69,66.66666666666667,200,7,1
male,group E,associate's degree,standard,none,72,57,62,63.666666666666664,191,-15,1
male,group C,some college,standard,none,84,87,81,84.0,252,3,1
female,group D,master's degree,standard,none,92,100,100,97.33333333333333,292,8,1
female,group D,high school,standard,none,45,63,59,55.666666666666664,167,18,1
male,group C,high school,standard,none,75,81,71,75.66666666666667,227,6,1
female,group A,some college,standard,none,56,58,64,59.333333333333336,178,2,1
female,group D,some high school,free/reduced,none,48,54,53,51.666666666666664,155,6,1
female,group E,associate's degree,standard,none,100,100,100,100.0,300,0,1
female,group C,some high school,free/reduced,completed,65,76,75,72.0,216,11,1
male,group D,some college,standard,none,72,57,58,62.333333333333336,187,-15,1
female,group D,some college,standard,none,62,70,72,68.0,204,8,1
male,group A,some high school,standard,completed,66,68,64,66.0,198,2,1
male,group C,some college,standard,none,63,63,60,62.0,186,0,1
female,group E,associate's degree,standard,none,68,76,67,70.33333333333333,211,8,1
female,group B,bachelor's degree,standard,none,75,84,80,79.66666666666667,239,9,1
female,group D,bachelor's degree,standard,none,89,100,100,96.33333333333333,289,11,1
male,group C,some high school,standard,completed,78,72,69,73.0,219,-6,1
female,group A,high school,free/reduced,completed,53,50,60,54.333333333333336,163,-3,1
female,group D,some college,free/reduced,none,49,65,61,58.333333333333336,175,16,1
female,group A,some college,standard,none,54,63,67,61.333333333333336,184,9,1
female,group C,some college,standard,completed,64,82,77,74.33333333333333,223,18,1
male,group B,some college,free/reduced,completed,60,62,60,60.666666666666664,182,2,1
male,group C,associate's degree,standard,none,62,65,58,61.666666666666664,185,3,1
male,group D,high school,standard,completed,55,41,48,48.0,144,-14,1
female,group C,associate's degree,standard,none,91,95,94,93.33333333333333,280,4,1
female,group B,high school,free/reduced,none,8,24,23,18.333333333333332,55,16,0
male,group D,some high school,standard,none,81,78,78,79.0,237,-3,1
male,group B,some high school,standard,completed,79,85,86,83.33333333333333,250,6,1
female,group A,some college,standard,completed,78,87,91,85.33333333333333,256,9,1
female,group C,some high school,standard,none,74,75,82,77.0,231,1,1
male,group A,high school,standard,none,57,51,54,54.0,162,-6,1
female,group C,associate's degree,standard,none,40,59,51,50.0,150,19,1
male,group E,some high school,standard,completed,81,75,76,77.33333333333333,232,-6,1
female,group A,some high school,free/reduced,none,44,45,45,44.666666666666664,134,1,1
female,group D,some college,free/reduced,completed,67,86,83,78.66666666666667,236,19,1
male,group E,high school,free/reduced,completed,86,81,75,80.66666666666667,242,-5,1
female,group B,some high school,standard,completed,65,82,78,75.0,225,17,1
female,group D,associate's degree,free/reduced,none,55,76,76,69.0,207,21,1
female,group D,bachelor's degree,free/reduced,none,62,72,74,69.33333333333333,208,10,1
male,group A,high school,standard,none,63,63,62,62.666666666666664,188,0,1
female,group E,master's degree,standard,completed,88,99,95,94.0,282,11,1
male,group C,high school,free/reduced,none,62,55,55,57.333333333333336,172,-7,1
female,group C,high school,free/reduced,completed,59,71,65,65.0,195,12,1
female,group D,some college,standard,completed,68,78,77,74.33333333333333,223,10,1
female,group D,some college,free/reduced,none,77,86,86,83.0,249,9,1
